82233	1" STDG "S" CONN 22GA CTL  33"	
82234	1" STDG "S" CONN 22GA CTL  34"	
82235	1" STDG "S" CONN 22GA CTL  35"	
82236	1" STDG "S" CONN 22GA CTL  36"	
82238	1" STDG "S" CONN 22GA CTL  38"	
82239	1" STDG "S" CONN 22GA CTL  39"	
82240	1" STDG "S" CONN 22GA CTL  40"	
82241	1" STDG "S" CONN 22GA CTL  41"	
82242	1" STDG "S" CONN 22GA CTL  42"	
824	1" STDG S SLIP 24GA       100'	
82412	1" STDG "S" CONN 24GA CTL  12"	
82414	1" STDG "S" CONN 24GA CTL  14"	
82416	1" STDG "S" CONN 24GA CTL  16"	
82418	1" STDG "S" CONN 24GA CTL  18"	
82419	1" STDG "S" CONN 24GA CTL  19"	
82420	1" STDG "S" CONN 24GA CTL  20"	
82421	1" STDG "S" CONN 24GA CTL  21"	
82422	1" STDG "S" CONN 24GA CTL  22"	
82423	1" STDG "S" CONN 24GA CTL  23"	
82424	1" STDG "S" CONN 24GA CTL  24"	
82425	1" STDG "S" CONN 24GA CTL  25"	
82426	1" STDG "S" CONN 24GA CTL  26"	
82427	1" STDG "S" CONN 24GA CTL  27"	
82428	1" STDG "S" CONN 24GA CTL  28"	
82429	1" STDG "S" CONN 24GA CTL  29"	
82430	1" STDG "S" CONN 24GA CTL  30"	
826	1" STDG S SLIP 26GA       100'	
8AL	1" STD "S" SLIP .032  10' ALUM	
8PG	24GA PAINT GRIP 1" STD "S" 10'	
8PVS	24GA 1" STD. "S" CONN. 10' PVS	
8SS	1" 304 SS STDG S SLIP .018 10'	
922	1-1/8" STDG S SLIP 22GA   100'	
???W	MISC. PURCHASING (STEEL)	
A034526	3" 45 26GA ANGLE LE/SE GALV	
A034526S	3" 45 26GA ANGLE W/SP END GALV	
A044524	4" 45 24GA ANGLE LE/SE GALV	
A044524S	4" 45 24GA ANGLE W/SP END GALV	
A044526	4" 45 26GA ANGLE LE/SE GALV	
A044526S	4" 45 26GA ANGLE W/SP END GALV	
A054524	5" 45 24GA ANGLE LE/SE GALV	
A054524S	5" 45 24GA ANGLE W/SP END GALV	
A054526	5" 45 26GA ANGLE LE/SE GALV	
A054526S	5" 45 26GA ANGLE W/SP END GALV	
A064524	6" 45 24GA ANGLE LE/SE GALV	
A064524S	6" 45 24GA ANGLE W/SP END GALV	
A064524S	6" 45 24GA ANGLE W/SP END GALV	
A064526	6" 45 26GA ANGLE LE/SE GALV	
A064526S	6" 45 26GA ANGLE W/SP END GALV	
A064526S	6" 45 26GA ANGLE W/SP END GALV	
A074524	7" 45 24GA ANGLE LE/SE GALV	
A074524S	7" 45 24GA ANGLE W/SP END GALV	
A074526	7" 45 26GA ANGLE LE/SE GALV	
A074526S	7" 45 26GA ANGLE W/SP END GALV	
A084524	8" 45 24GA ANGLE LE/SE GALV	
A084524S	8" 45 24GA ANGLE W/SP END GALV	
A084526	8" 45 26GA ANGLE LE/SE GALV	
A084526S	8" 45 26GA ANGLE W/SP END GALV	
A084526S	8" 45 26GA ANGLE W/SP END GALV	
A094524	9" 45 24GA ANGLE LE/SE GALV	
A094526	9" 45 26GA ANGLE LE/SE GALV	
A094526S	9" 45 26GA ANGLE W/SP END GALV	
A104524	10" 45 24GA ANGLE LE/SE GALV	
A104524S	10" 45 24GA ANGLE W/SP GALV	
